2500,12,0.0094698,0.0011176,
5000,25,0.0429214,0.0010556,
7500,37,0.10671,0.0020259,
10000,50,0.295143,0.0028181,
12500,62,0.418681,0.0039882,
15000,75,0.61165,0.0040633,
17500,87,0.885941,0.0050901,
20000,100,1.27535,0.0062858,
22500,112,1.74815,0.0072935,
25000,125,2.29134,0.0092632,
27500,137,3.0185,0.0103281,
30000,150,3.81782,0.012204,
32500,162,4.73,0.0141153,
35000,175,5.84082,0.0158345,
37500,187,7.01576,0.0179608,
40000,200,8.48645,0.0214145,
42500,212,9.96863,0.0232162,
45000,225,11.8148,0.0255532,
47500,237,13.7556,0.0287681,
50000,250,15.9376,0.0313781,
52500,262,18.2533,0.034423,
55000,275,20.7952,0.0379889,
57499,287,23.6857,0.0411281,
60000,300,26.6868,0.0447235,
62500,312,29.9456,0.0488033,
65000,325,34.1351,0.0525719,
67500,337,38.1287,0.0561369,
70000,350,41.8501,0.0619663,
72500,362,46.5095,0.0661266,
75000,375,51.28,0.0652572,
77500,387,56.6593,0.0706636,
80000,400,62.2844,0.0779342,
82500,412,68.3724,0.0793585,
85000,425,73.8486,0.0856584,
87500,437,80.1935,0.0911145,
90000,450,87.8083,0.0945009,
92500,462,94.7921,0.0987534,
95000,475,101.921,0.103774,
97500,487,109.723,0.130361,
100000,500,118.544,0.115927,
